origen_aseguradora,id_original,marca,modelo,anio,version_original,transmision,activo
ZURICH,72315,ACURA,ADX,2025,ADX A-SPEC SUV AUT AA EE CD BA QC VP 190HP ABS 1.5L 4CIL 5P 5OCUP,,1
ZURICH,72316,ACURA,ADX,2025,ADX ADVANCE SUV AUT AA EE CD BA QC VP 190HP ABS 1.5L 4CIL 5P 5OCUP,,1
ZURICH,32380,ACURA,ILX,2013,PREMIUM SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32381,ACURA,ILX,2013,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32382,ACURA,ILX,2014,PREMIUM SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32383,ACURA,ILX,2014,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32384,ACURA,ILX,2014,LUXURY SEDAN AUT AA EE CD BA QC 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32385,ACURA,ILX,2015,PREMIUM SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32386,ACURA,ILX,2015,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32387,ACURA,ILX,2016,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32388,ACURA,ILX,2016,A-SPEC SEDAN AUT AA EE CD BA QC VP 201HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32389,ACURA,ILX,2017,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32390,ACURA,ILX,2017,A-SPEC SEDAN AUT AA EE CD BA QC VP 201HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32391,ACURA,ILX,2018,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,32392,ACURA,ILX,2018,A-SPEC SEDAN AUT AA EE CD BA QC VP 201HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,55529,ACURA,ILX,2019,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,55530,ACURA,ILX,2019,A-SPEC SEDAN AUT AA EE CD BA QC VP 201HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,55531,ACURA,ILX,2020,TECH SEDAN AUT AA EE CD BA QC VP 150HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,55532,ACURA,ILX,2020,A-SPEC SEDAN AUT AA EE CD BA QC VP 201HP ABS 2L 4CIL 4P 5OCUP,AUTO,1
ZURICH,69744,ACURA,INTEGRA,2023,A-SPEC SEDAN CVT AA EE CD BA QC VP 200HP ABS 1.5L 4CIL 4P 5OCUP,AUTO,1
ZURICH,70566,ACURA,INTEGRA,2024,TYPE S SEDAN STD AA EE MP3 USB BA QC VP 315HP ABS 2L 4CIL 4P 5OCUP,MANUAL,1
ZURICH,70567,ACURA,INTEGRA,2024,A-SPEC SEDAN CVT AA EE CD BA QC VP 200HP ABS 1.5L 4CIL 4P 5OCUP,AUTO,1
ZURICH,72313,ACURA,INTEGRA,2025,INTEGRA TYPE S SEDAN STD AA EE MP3 USB BA QC VP 315HP ABS 2L 4CIL 4P 5OCUP,,1
ZURICH,72314,ACURA,INTEGRA,2025,INTEGRA A-SPEC SEDAN CVT AA EE CD BA QC VP 200HP ABS 1.5L 4CIL 4P 5OCUP,,1
ZURICH,32364,ACURA,MDX,2005,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32365,ACURA,MDX,2006,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32366,ACURA,MDX,2007,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32367,ACURA,MDX,2008,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32368,ACURA,MDX,2009,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32369,ACURA,MDX,2010,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32370,ACURA,MDX,2011,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32371,ACURA,MDX,2012,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32372,ACURA,MDX,2013,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32373,ACURA,MDX,2014,AWD R18 SUV AUT VP 304HP 3.7L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32374,ACURA,MDX,2014,TECH SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32375,ACURA,MDX,2014,SH AWD SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32376,ACURA,MDX,2015,SH AWD SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32377,ACURA,MDX,2016,SH AWD SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32378,ACURA,MDX,2017,SH AWD SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,32379,ACURA,MDX,2018,SH AWD SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,55525,ACURA,MDX,2019,TECH SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,55526,ACURA,MDX,2019,A SPEC SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,55527,ACURA,MDX,2020,TECH SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,55528,ACURA,MDX,2020,A SPEC SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,69118,ACURA,MDX,2022,TYPE S SUV AUT AA EE CD BA QC VP 350HP ABS 3L 6CIL 5P 7OCUP,AUTO,1
ZURICH,67693,ACURA,MDX,2022,ADVANCE SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,69741,ACURA,MDX,2023,ADVANCE SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,69742,ACURA,MDX,2023,TYPE S SUV AUT AA EE CD BA QC VP 350HP ABS 3L 6CIL 5P 7OCUP,AUTO,1
ZURICH,70556,ACURA,MDX,2024,ADVANCE SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
ZURICH,70557,ACURA,MDX,2024,TYPE S SUV AUT AA EE CD BA QC VP 350HP ABS 3L 6CIL 5P 7OCUP,AUTO,1
ZURICH,70558,ACURA,MDX,2025,ADVANCE SUV AUT AA EE CD BA QC VP 290HP ABS 3.5L 6CIL 5P 7OCUP,AUTO,1
